Cage,Strain,AnimalName,Parameter,Width,Length,Sex
R05820,NOG,43040,Right,0,0,M
R05820,NOG,43041,Left,0,0,M
R05820,NOG,43041,Right,0,0,M
R05915,NOG,43050,Right,12.91433312,16.1429164,F
R05915,NOG,43050,Left,19.10183237,23.87729047,F
R05915,NOG,43051,Right,19.72967308,24.66209135,F
R05915,NOG,43051,Left,31.57736531,39.47170664,F
R05915,NOG,43052,Left,7.264296249,9.080370312,F
R05915,NOG,43052,Right,9.066421565,11.33302696,F
R05915,NOG,43054,Right,6.974955197,8.718693996,F
R05915,NOG,43054,Left,13.62754563,17.03443204,F
R05919,NOG,43070,Left,0,0,F
R05919,NOG,43070,Right,0,0,F
R05919,NOG,43071,Right,26.21259239,32.76574049,F
R05919,NOG,43071,Left,31.40573196,39.25716495,F
R05919,NOG,43072,Left,18.40353227,23.00441534,F
R05919,NOG,43072,Right,20.48536063,25.60670078,F
R05919,NOG,43073,Right,0,0,F
R05919,NOG,43073,Left,22.77564489,28.46955611,F
R05920,NOG,43075,Left,0,0,F
R05920,NOG,43075,Right,0,0,F
R05920,NOG,43077,Left,0,0,F
R05920,NOG,43077,Right,0,0,F
R05920,NOG,43079,Left,0,0,F
R05920,NOG,43079,Right,5.461684722,6.827105902,F
R05992,NOG,43095,Right,6.673829485,8.342286857,F
R05992,NOG,43095,Left,7.278049189,9.097561486,F
R05992,NOG,43096,Right,0,0,F
R05992,NOG,43096,Left,7.309582751,9.136978439,F
R05992,NOG,43097,Right,6.380438856,7.97554857,M
R05992,NOG,43097,Left,7.319836064,9.14979508,M
R05992,NOG,43099,Left,0,0,M
R05992,NOG,43099,Right,0,0,M
R05993,NOG,43100,Right,6.982120022,8.727650027,M
R05993,NOG,43100,Left,9.925220401,12.4065255,M
R05993,NOG,43101,Right,6.926037828,8.657547285,M
R05993,NOG,43101,Left,9.575489544,11.96936193,M
R05993,NOG,43102,Right,6.54599114,8.182488925,M
R05993,NOG,43102,Left,8.715503428,10.89437928,M
R05993,NOG,43103,Left,7.029224708,8.786530885,M
R05993,NOG,43103,Right,8.072793816,10.09099227,M
R05993,NOG,43104,Left,7.212489168,9.01561146,M
R05993,NOG,43104,Right,9.8285299,12.28566238,M
R05994,NOG,43105,Left,0,0,M
R05994,NOG,43105,Right,0,0,M
R05994,NOG,43106,Left,0,0,M
R05994,NOG,43106,Right,0,0,M
R05994,NOG,43107,Left,0,0,M
R05994,NOG,43107,Right,0,0,M
R05994,NOG,43108,Left,0,0,M
R05994,NOG,43108,Right,0,0,M
R05994,NOG,43109,Left,0,0,M
R05994,NOG,43109,Right,0,0,M
R05995,NOG,43110,Left,0,0,M
R05995,NOG,43110,Right,5.866856058,7.333570072,M
R05995,NOG,43111,Left,0,0,M
R05995,NOG,43111,Right,0,0,M
R05995,NOG,43112,Left,0,0,M
R05995,NOG,43112,Right,3.891015292,4.863769115,M
R05995,NOG,43113,Left,0,0,M
R05995,NOG,43113,Right,5.216320542,6.520400678,F
R05995,NOG,43114,Left,0,0,F
R05995,NOG,43114,Right,0,0,F
R06412,NOG,43130,Left,21.32369574,26.65461967,F
R06412,NOG,43130,Right,24.07550623,30.09438278,F
R06412,NOG,43131,Left,17.86253062,22.32816327,F
R06412,NOG,43131,Right,19.98849669,24.98562086,F
R06412,NOG,43132,Left,9.515776374,11.89472047,F
R06412,NOG,43132,Right,11.16557209,13.95696511,F
R06412,NOG,43133,Left,13.11907009,16.39883761,F
R06412,NOG,43133,Right,30.3544066,37.94300825,F
R06412,NOG,43134,Right,11.32872455,14.16090569,F
R06412,NOG,43134,Left,17.39942528,21.7492816,F
R06423,NOG,43150,Right,6.606057826,8.257572282,F
R06423,NOG,43150,Left,15.63489687,19.54362108,F
R06423,NOG,43151,Left,0,0,F
R06423,NOG,43151,Right,0,0,F
R06423,NOG,43152,Left,0,0,F
R06423,NOG,43152,Right,0,0,F
R06423,NOG,43153,Left,4.161730409,5.202163012,F
R06423,NOG,43153,Right,5.456189146,6.820236433,F
R06423,NOG,43154,Right,12.64832005,15.81040006,F
R06423,NOG,43154,Left,25.82266446,32.27833058,F
R06426,NOG,43155,Left,0,0,F
R06426,NOG,43155,Right,0,0,F
R06426,NOG,43156,Right,0,0,F
R06426,NOG,43156,Left,4.951767361,6.189709202,F
R06426,NOG,43157,Left,17.07132098,21.33915122,F
R06426,NOG,43157,Right,39.50772076,49.38465096,F
R06426,NOG,43158,Right,5.284884105,6.606105131,F
R06426,NOG,43158,Left,30.71253816,38.3906727,F
R06429,NOG,43160,Left,31.67617401,39.59521751,F
R06429,NOG,43160,Right,35.3369495,44.17118688,F
R06429,NOG,43162,Left,22.97825059,28.72281323,F
R06429,NOG,43162,Right,25.70972579,32.13715723,F
